Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ImportJson\ImportJson.csproj,File,ImportJson\ImportJson.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ImportJson\ImportJson.csproj,File,ImportJson\Program.cs,943,12,T:System.Text.Json.JsonDocument,,,,,using var document = JsonDocument.Parse(jsonValue.ToJsonString());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ImportJson\ImportJson.csproj,File,ImportJson\Program.cs,943,12,T:System.Text.Json.JsonDocument,,,,,using var document = JsonDocument.Parse(jsonValue.ToJsonString());
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SitefinityUpdater.Core\SitefinityContentUpdater.Core.csproj,File,SitefinityUpdater.Core\SitefinityContentUpdater.Core.csproj,,,Microsoft.Extensions.Configuration 9.0.0,,,,,"Microsoft.Extensions.Configuration, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SitefinityUpdater.Core\SitefinityContentUpdater.Core.csproj,File,SitefinityUpdater.Core\SitefinityContentUpdater.Core.csproj,,,Microsoft.Extensions.Configuration.Json 9.0.0,,,,,"Microsoft.Extensions.Configuration.Json, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.10"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SitefinityUpdater.Core\SitefinityContentUpdater.Core.csproj,File,SitefinityUpdater.Core\SitefinityContentUpdater.Core.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SitefinityUpdater.Core\SitefinityContentUpdater.Core.csproj,File,SitefinityUpdater.Core\RestClient\RestClientFactory.cs,24,12,T:System.Uri,,,,,client.BaseAddress = new Uri(config.Url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SitefinityUpdater.Core\SitefinityContentUpdater.Core.csproj,File,SitefinityUpdater.Core\RestClient\RestClientFactory.cs,24,12,M:System.Uri.#ctor(System.String),,,,,client.BaseAddress = new Uri(config.Url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SitefinityUpdater.Core\SitefinityContentUpdater.Core.csproj,File,SitefinityUpdater.Core\RestClient\RestClientFactory.cs,24,12,T:System.Uri,,,,,client.BaseAddress = new Uri(config.Url);
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SitefinityUpdater.Core.Tests\SitefinityContentUpdater.Core.Tests.csproj,File,SitefinityUpdater.Core.Tests\SitefinityContentUpdater.Core.Tests.csproj,,,Microsoft.Extensions.Configuration 9.0.0,,,,,"Microsoft.Extensions.Configuration, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.10"
