Image Title,Source Id,Target Id
_0001_Today’s Dermatology Practice_ Balancing Patient Experience with Increased Efficiency,f9c59b18-eaf3-4813-893b-307a1eddd46a,N/A
video-banner,8df27056-6827-4d2d-b934-4ca404258fa6,N/A
2019 Exam Promo Small Banner_1_4,aa6ee80f-39ee-46c8-bde8-5570b5211756,N/A
bite-resistant-sensor-EXCLUSIVE-DESIGN-IMPROVED-BITE-RESISTANCE,5ddd65a8-ff3a-446d-8568-02f09326760f,N/A
"4' W x 5' H Raised Stainless Steel Kennel, Glass Gate, Wire over SS Iso Sides, Full Iso Back, Top Panel",a5be9c48-6cce-403a-8e84-0441709d93f3,N/A
dental-community-health-center-solutions-banner3,6d1dec3a-1c41-4b24-ac1a-051924b133b2,6904ba80-a087-4072-9b79-81d49752f2c3
ah-dental-scaler-with-tip,51a15321-8006-490f-9ed7-0723b796bde0,N/A
dental-community-health-center-solutions-banner2,073abecf-6766-41b7-a90b-12efeea77a9f,c0746e58-a8a8-483a-8dfe-b9e2882fd103
Sara_Seaton-Headshot-25,bc0dbce4-3a9e-4b15-baf0-15c9ee43ead0,224f471d-65c4-43f2-8ae7-9e25be3472d8
diagnostic-connected-solutions-header_mobile,1cf03775-899f-4603-a13e-1d179e8eeccf,95310cdb-c9c1-4f39-bcd1-6e4c4688ad4c
medical-technical-library-workstations,434e586d-eb4f-4da5-9f19-207ad41c5b95,N/A
zone1,73119e37-cf3c-4117-b960-21dbfb8669e9,497cd114-340d-4576-8fe7-7c3d05a7d031
medical-technical-library-lights,12658ba3-a5df-42a0-a60e-277ed7d777bd,N/A
Bien-Air® Handpiece Solutions,28252606-fdbb-4304-bbcd-2feef7a9e7b8,N/A
Midmark-Homepage_Mobile-Image_NGS2_750x1152–1,04c22651-5dfb-4148-8d42-3599b47bc630,N/A
"4' W x 5' H Raised Stainless Steel Kennel, Wire Gate, Wire over SS Iso Sides, Full Iso Back, Top Panel b2b",d16b28af-8ef1-404e-ae5f-36bd1e4f3d5d,9015ad07-da58-452d-9778-fe6d5f6a341b
230-main,1d9918ce-e9b6-4361-a1fb-3d29a76178fd,N/A
Midmark-Homepage_Mobile-Image_NGS2_750x1152–2,f484d419-e209-4f95-b172-3d51f689ee75,N/A
medical-technical-library-cabinetry,f3e3ed30-f8d5-4cfb-b6cc-40270dbb425f,N/A
Midmark-Homepage_Mobile-Image_NGS2_750x1152–1,a9269c46-5890-4554-b0bf-475f72a99b5d,N/A
Synthesis® Mobile Cabinets,2c927aef-67bc-4f96-ac0f-54d619e6fcf8,N/A
